h1,h2,h3,h4,h5,h6,p,a,img,ul
,Sunway College Kathmandu,Sunway College,Sunway College Announces Special ‘IELTS’ Scholarship Opportunity for AI Studies!,Sanket Shrestha,Prashamsha Rijal,,#primary,https://www.facebook.com/tr?id=625202062554777&ev=PageView&noscript=1,Home
,Our Bachelor Degree & Short Courses,Sunway College 2,Sunway College and Pathao Nepal team up to Offer Internship and Job Opportunities for IT Students,Pratikshya Karki,Sugam Adhikari,Full Name,index.html,https://sunway.edu.np/wp-content/uploads/2025/01/site-logo.png,"About Us

Frequently Asked Questions (FAQs)"
,BSc(Hons) Computer Science with Artificial Intelligence,Start With,Sunway College and Adex: Empowering Futures with Mentorship and Placement Opportunities,Sadikshya Ghimire,Aaryan Malla,Email Address,https://sunway.edu.np/,https://sunway.edu.np/wp-content/uploads/2025/02/ad.jpg,Frequently Asked Questions (FAQs)
,Why Sunway College,Sunway's Programes,Sunway College Kathmandu Partners with Inspiring Lab to Empower Students for Industry Success,Prashanta Acharya,Sadikshya Ghimire,Phone Number,https://sunway.edu.np/,https://sunway.edu.np/wp-content/uploads/2025/01/banner-img.png,Programs
,News and Events,BSc (Hons) Computer Science with Artificial Intelligence,To Empower Students with Localized AI Expertise Sunway Partners with Diyo AI,Prashanta Acharya,Abhash Rai,ProgramBSc (Hons) Computer Science and Artificial Intelligence,https://sunway.edu.np/about-us/,https://sunway.edu.np/wp-content/themes/sunway/assets/images/google-icon.png,Career & Placements
,Birmingham City University,Our Latest Updates,Sunway College Kathmandu Partners with Kathmandu Metropolitan City to Empower Local Communities,Sanket Shrestha,,IELTS/PTE/TOEFL Score,https://sunway.edu.np/faq/,https://sunway.edu.np/wp-content/uploads/2025/01/banner-img.png,Blogs
,"Captured Moments, Lasting Memories",Our University Partner,,Sadikshya Ghimire,,Message,https://sunway.edu.np/programs/,https://sunway.edu.np/wp-content/themes/sunway/assets/images/google-icon.png,Life at Sunway College
,Career Placements,Image Gallery,,Reach Out,,Apply,https://sunway.edu.np/career-placements/,https://sunway.edu.np/wp-content/uploads/2022/05/800X600.jpg,Contact
,Check what Our Students are Saying,100% Placement Support,,Quick Links,,Δ,https://sunway.edu.np/blogs/,https://sunway.edu.np/wp-content/uploads/2025/01/girl-student-with-logo.png,Frequently Asked Questions (FAQs)
,Sunway Student Representative Council (SSRC),Testimonials,,,,"Why Sunway College? Sunway College Kathmandu, a leading AI college in Nepal,offers a specialized Bachelor Degree in Data Science and Artificial Intelligence. As one of the top AI colleges in Nepal, we are dedicated to mint academic and professional standards in our students who will become a believer in",https://sunway.edu.np/life-at-sunway/,https://sunway.edu.np/wp-content/uploads/2025/02/sunway-video-thumbnail-2.jpg,
,Collaborating for a Better Future,Students CLub,,,,,https://sunway.edu.np/contact/,https://sunway.edu.np/wp-content/uploads/2025/01/video-play-icon.png,
,,Our Alliances,,,,,,https://sunway.edu.np/wp-content/uploads/2025/02/sunway-video-thumbnail-3.jpg,
,,,,,,,https://sunway.edu.np/about-us/,https://sunway.edu.np/wp-content/uploads/2025/01/video-play-icon.png,
,,,,,,,https://sunway.edu.np/about-us/,https://sunway.edu.np/wp-content/uploads/2025/02/AI-Scholarship-with-Logo.jpg,
