url,content
https://sunway.edu.np/how-nepals-social-media-council-bill-2081-bs-could-impact-students-a-closer-look,"How Nepal’s Social Media Council Bill, 2081 BS Could Impact Students: A Closer Look"
https://sunway.edu.np/author/sunwayadmin,Author: admin
https://sunway.edu.np/category/blog,Category: Blog
https://sunway.edu.np/for-ai-enthusiasts-a-fascinating-journey-through-the-history-of-artificial-intelligence,For AI Enthusiasts: A Fascinating Journey Through the History of Artificial Intelligence
https://sunway.edu.np/author/sunwayseomanager,Author: Simoli Desai
https://sunway.edu.np/apply-for-program-2,Apply For Program
https://sunway.edu.np/power-of-artificial-intelligence-in-network-security-from-fraud-detection-to-edge-computing-in-telecommunication,Power of Artificial Intelligence in Network Security: From Fraud Detection to Edge Computing in Telecom Infrastructure
https://sunway.edu.np/considering-a-bachelor-degree-in-ai-heres-what-you-must-know,Considering a Bachelor Degree in AI? Here’s What You Must Know.
https://sunway.edu.np/apply-for-program,Apply Now
https://sunway.edu.np/enhance-your-job-placement-opportunities-steps-to-a-better-linkedin-profile-in-2024,Enhance Your Job Placement Opportunities: Steps to a Better LinkedIn Profile in 2024
https://sunway.edu.np/iot-based-automatic-water-temperature-adjustor-by-sabin-shrestha,IoT Based Automatic Water Temperature Adjustor by Sabin Shrestha
https://sunway.edu.np/category/student-blog,Category: student blog
https://sunway.edu.np/analyzing-netflix-movie-trends-are-movies-getting-shorter,Analyzing Netflix Movie Trends: Are Movies Getting Shorter?
https://sunway.edu.np/partner-institutions-with-digischool-uk-colleges,Partner Institutions with DigiSchool & UK Colleges
https://sunway.edu.np/merit-based-it-scholarship-in-nepal-worth-2-crore,Study IT with up to 100% Scholarship in Nepal – Learn How!
https://sunway.edu.np/apply-for-scholarship,Apply For Scholarship
https://sunway.edu.np/discover-the-best-python-courses-in-nepal,Discover The Best Python Courses In Nepal.
https://sunway.edu.np/is-ai-reshaping-nepals-future-discover-the-impact-of-artificial-intelligence-in-nepal,Is AI Reshaping Nepal’s Future? Discover the Impact of Artificial Intelligence in Nepal!
https://sunway.edu.np/highest-salary-paying-ai-jobs-in-nepal,Highest Salary Paying AI Jobs in Nepal.
https://sunway.edu.np/top-ai-college-in-nepal-for-a-bright-future,Discover the Top AI College in Nepal for a Bright Future.
https://sunway.edu.np/ielts-scholarships-12-graduates-sunway,IELTS scholarships for +2 graduates: an amazing offer by Sunway
https://sunway.edu.np/category/uncategorized,Category: Uncategorized
https://sunway.edu.np/10-reasons-to-study-data-science,10 Reasons to Study Data Science
https://sunway.edu.np/data-science-career,What to study after +2? Data Science and Artificial Intelligence – A career that never ends
https://sunway.edu.np/workshop/7-days-free-digital-marketing-data-science-bootcamp,7 Days Free Digital Marketing & Data Science Bootcamp
https://sunway.edu.np/apply-for-workshop,Apply For Workshop
https://sunway.edu.np/2025/02,Month: February 2025
https://sunway.edu.np/2024/01,Month: January 2024
https://sunway.edu.np/2023/12,Month: December 2023
https://sunway.edu.np/automatic-panipuri-water-dispenser-at-sunway-college,Automatic Panipuri Water Dispenser At Sunway College
https://sunway.edu.np/what-is-data-science-history-lifecycle-applications,"What is Data Science? History, Lifecycle & Applications"
https://sunway.edu.np/category/data-science,Category: data science
https://sunway.edu.np/how-to-become-a-data-scientist,How to become a data scientist? A beginner’s step-by-step guide to entering into the data science field.
https://sunway.edu.np/data-science-terms,6 Data Science Terms Everybody Must Know in 2023
https://sunway.edu.np/alternatives-to-bba-after-12,Best alternatives to BBA after 12 in Nepal
https://sunway.edu.np/all-about-bcs-hons-computer-and-data-science,All you need to know about BSc (Hons) Computer Science and Artificial Intelligence Scope | Placements | Career
https://sunway.edu.np/how-does-tiktok-algorithm-work,How does the “For You” algorithm work in TikTok?
https://sunway.edu.np/2023/11,Month: November 2023
https://sunway.edu.np/which-college-offers-the-best-program-for-artificial-intelligence-in-nepal,Which College Offers the Best Program for Artificial Intelligence in Nepal?
https://sunway.edu.np/why-is-the-scope-of-data-science-a-compelling-career-choice-in-nepal,Why is the Scope of Data Science a Compelling Career Choice in Nepal?
https://sunway.edu.np/2023/10,Month: October 2023
https://sunway.edu.np/study-in-nepal-with-ecan-softed-it-scholarship,Study in Nepal with ECAN SoftEd IT Scholarship
https://sunway.edu.np/2023/09,Month: September 2023
https://sunway.edu.np/2023/08,Month: August 2023
https://sunway.edu.np/2023/07,Month: July 2023
https://sunway.edu.np/generative-ai-pioneering-the-future,Generative AI: Pioneering the Future!
https://sunway.edu.np/beyond-the-classroom-unleashing-ai-and-data-science,Beyond the Classroom: Unleashing AI and Data Science
https://sunway.edu.np/automatic-obstacle-avoiding-car-with-arduino-and-ultrasonic,Automatic Obstacle-Avoiding Car with Arduino & Ultrasonic Censor
https://sunway.edu.np/threads-vs-twitter,Threads Vs Twitter: Communication Clash!
https://sunway.edu.np/2023/02,Month: February 2023
https://sunway.edu.np/tag/data-science,Tag: data science
