url,content
https://sunway.edu.np/how-nepals-social-media-council-bill-2081-bs-could-impact-students-a-closer-look,"Impact on Freedom of ExpressionOne of the main concerns about the bill is its potential effect on freedom of speech and expression. While the government’s intention is to curb harmful content, such as hate speech and cyberbullying, there is worry that the broad nature of the regulations could also suppress legitimate expression. For students who use social media to engage in activism, academic discussions, or even personal expression, the fear of unwarranted censorship or punishment could lead to self-censorship and limited discourse online."
https://sunway.edu.np/how-nepals-social-media-council-bill-2081-bs-could-impact-students-a-closer-look,"Education and LearningMany students rely on social media platforms for educational content, online courses, webinars, and knowledge-sharing. However, the new Bill’s stringent content regulations could restrict access to certain types of content or make platforms overly cautious about the content they allow. Students who use YouTube, LinkedIn, and other social media for professional networking, learning, and career growth might find themselves limited by the need for companies to censor certain types of content to comply with the Bill."
https://sunway.edu.np/how-nepals-social-media-council-bill-2081-bs-could-impact-students-a-closer-look,"Online Privacy and Data SecurityOne of the Bill’s main selling points is its promise to improve information security, privacy of personal data, and cyber security. While this is an encouraging development, students will need to remain vigilant about their online footprint. The fear of stricter regulations could cause students to reconsider how much personal information they share on social media, which could have implications for those looking to build their online presence, especially for career networking or self-branding."
https://sunway.edu.np/how-nepals-social-media-council-bill-2081-bs-could-impact-students-a-closer-look,"Fines and AccountabilityWith fines of up to Rs 500,000 for users who engage in online activities deemed harmful, students may feel more apprehensive about their interactions on social media. The Bill’s broad scope, covering actions such as posting, liking, commenting, or tagging with the “wrong intention,” means that students could be penalized for actions that may seem innocuous or unintentional. This could make students more cautious, reducing their willingness to participate in conversations or share content freely."
https://sunway.edu.np/how-nepals-social-media-council-bill-2081-bs-could-impact-students-a-closer-look,"A Changing Social Media LandscapeThe implementation of the Social Media Council Bill will undoubtedly reshape the way social media operates in Nepal. With stricter regulations on digital platforms, students may find themselves navigating a more controlled online space. This could impact everything from group discussions, student activism, and university-related social media projects to career-building efforts on platforms like LinkedIn. It may also push students to look for new, alternative platforms to communicate or organize, especially if they feel stifled by existing social media regulations."
https://sunway.edu.np/author/sunwayadmin,"Impact on Freedom of ExpressionOne of the main concerns about the bill is its potential effect on freedom of speech and expression. While the government’s intention is to curb harmful content, such as hate speech and cyberbullying, there is worry that the broad nature of the regulations could also suppress legitimate expression. For students who use social media to engage in activism, academic discussions, or even personal expression, the fear of unwarranted censorship or punishment could lead to self-censorship and limited discourse online."
https://sunway.edu.np/author/sunwayadmin,"Education and LearningMany students rely on social media platforms for educational content, online courses, webinars, and knowledge-sharing. However, the new Bill’s stringent content regulations could restrict access to certain types of content or make platforms overly cautious about the content they allow. Students who use YouTube, LinkedIn, and other social media for professional networking, learning, and career growth might find themselves limited by the need for companies to censor certain types of content to comply with the Bill."
https://sunway.edu.np/author/sunwayadmin,"Online Privacy and Data SecurityOne of the Bill’s main selling points is its promise to improve information security, privacy of personal data, and cyber security. While this is an encouraging development, students will need to remain vigilant about their online footprint. The fear of stricter regulations could cause students to reconsider how much personal information they share on social media, which could have implications for those looking to build their online presence, especially for career networking or self-branding."
https://sunway.edu.np/author/sunwayadmin,"Fines and AccountabilityWith fines of up to Rs 500,000 for users who engage in online activities deemed harmful, students may feel more apprehensive about their interactions on social media. The Bill’s broad scope, covering actions such as posting, liking, commenting, or tagging with the “wrong intention,” means that students could be penalized for actions that may seem innocuous or unintentional. This could make students more cautious, reducing their willingness to participate in conversations or share content freely."
https://sunway.edu.np/author/sunwayadmin,"A Changing Social Media LandscapeThe implementation of the Social Media Council Bill will undoubtedly reshape the way social media operates in Nepal. With stricter regulations on digital platforms, students may find themselves navigating a more controlled online space. This could impact everything from group discussions, student activism, and university-related social media projects to career-building efforts on platforms like LinkedIn. It may also push students to look for new, alternative platforms to communicate or organize, especially if they feel stifled by existing social media regulations."
https://sunway.edu.np/author/sunwayadmin,"Arduino: Arduino is an open-source microcontroller platform that serves as the brain of the car. It provides an interface between the various modules and sensors, allowing them to communicate and work together efficiently."
https://sunway.edu.np/author/sunwayadmin,"Arduino Motor Shield: The Arduino Motor Shield is an add-on board that enables the control of multiple motors simultaneously. It allows precise control over the car’s movement, including speed, direction, and rotation."
https://sunway.edu.np/author/sunwayadmin,"HC-05 Bluetooth Module: The HC-05 Bluetooth module facilitates wireless communication between the car and an Android device. It enables remote control of the vehicle, adding an element of convenience and versatility to the system."
https://sunway.edu.np/author/sunwayadmin,"Ultrasonic Sensor: The ultrasonic sensor plays a crucial role in obstacle detection. By emitting ultrasonic waves and measuring the time taken for the waves to bounce back, the sensor can determine the distance between the car and any obstruction in its path."
https://sunway.edu.np/author/sunwayadmin,Hardware Setup
