metadata.url,metadata.title,metadata.last_modified,metadata.description,content.main_content,content.sections,content.related_links,content.images
https://sunway.edu.np/events/,Events - Sunway College Kathmandu,2025-01-28T10:07:57+00:00,,"Dynamic Experiences Sunway Events Applauding the Data Fellowship Award Winners: Champions of Innovation! February 22, 2024 Winter AI Bootcamp February 1, 2024 Venture Gala 2024 January 30, 2024 Safer Environment with Sunwayian January 30, 2024 October 6, 2023 AI Admission Week Unlock Your Future in AI: Join us for AI Admission Week!  Explore Lucrative Scholarship Opportunities, Seamless Credit Transfers, and... Read More July 19, 2023 Annual Day 2023 Join us for the most anticipated event of the year, Sunway Colleges Annual Day! . Prepare to be amazed as... Read More May 9, 2022 Admission open for BScHons Computer and Data Science Venture into the industry as a Data Analyst, Data Engineer, or Data Scientist Our 4-year 𝗨𝗞 𝗯𝗮𝘀𝗲𝗱 𝗱𝗲𝗴𝗿𝗲𝗲 in an... Read More May 2, 2022 𝐋𝐚𝐮𝐧𝐜𝐡𝐢𝐧𝐠 𝐁𝐀 𝐇𝐨𝐧𝐬 𝐌𝐚𝐫𝐤𝐞𝐭𝐢𝐧𝐠 𝐖𝐢𝐭𝐡 𝐃𝐢𝐠𝐢𝐭𝐚𝐥 𝐂𝐨𝐦𝐦𝐮𝐧𝐢𝐜𝐚𝐭𝐢𝐨𝐧 𝐬𝐨𝐨𝐧 Launch your career in Digital Marketing as a Digital Marketing Expert  With our 4-year 𝗨𝗞 based degree in an academic partnership... Read More Start with Sunway College Quick Enquiry",[],[],"[{'src': 'https://www.facebook.com/tr?id=625202062554777&ev=PageView&noscript=1', 'alt': 'fbpx', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/site-logo.png', 'alt': 'Sunway College Kathmandu', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/02/ad.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2024/02/sunwaycollegektm_1707286811_3297283214476102331_4971021648-300x300.jpg', 'alt': 'data fellowship', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2024/02/sunwaycollegektm_1706709559_3292440872438478774_4971021648-300x300.jpg', 'alt': 'Winter AI Bootcamp | Sunway College Kathmandu', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2024/01/sunwaycollegektm_1706535729_3290982681062810927_4971021648-300x300.jpg', 'alt': 'Venture Gala 2024', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2024/01/sunwaycollegektm_1700110196_3237081404892384063_4971021648-240x300.jpg', 'alt': 'Safer Environment with Sunwayian', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/college-logo-with-name.png', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/footer-logo-name.png', 'alt': 'Footer Image', 'caption': ''}]"
https://sunway.edu.np/events/#primary,Events - Sunway College Kathmandu,2025-01-28T10:07:57+00:00,,"Dynamic Experiences Sunway Events Applauding the Data Fellowship Award Winners: Champions of Innovation! February 22, 2024 Winter AI Bootcamp February 1, 2024 Venture Gala 2024 January 30, 2024 Safer Environment with Sunwayian January 30, 2024 October 6, 2023 AI Admission Week Unlock Your Future in AI: Join us for AI Admission Week!  Explore Lucrative Scholarship Opportunities, Seamless Credit Transfers, and... Read More July 19, 2023 Annual Day 2023 Join us for the most anticipated event of the year, Sunway Colleges Annual Day! . Prepare to be amazed as... Read More May 9, 2022 Admission open for BScHons Computer and Data Science Venture into the industry as a Data Analyst, Data Engineer, or Data Scientist Our 4-year 𝗨𝗞 𝗯𝗮𝘀𝗲𝗱 𝗱𝗲𝗴𝗿𝗲𝗲 in an... Read More May 2, 2022 𝐋𝐚𝐮𝐧𝐜𝐡𝐢𝐧𝐠 𝐁𝐀 𝐇𝐨𝐧𝐬 𝐌𝐚𝐫𝐤𝐞𝐭𝐢𝐧𝐠 𝐖𝐢𝐭𝐡 𝐃𝐢𝐠𝐢𝐭𝐚𝐥 𝐂𝐨𝐦𝐦𝐮𝐧𝐢𝐜𝐚𝐭𝐢𝐨𝐧 𝐬𝐨𝐨𝐧 Launch your career in Digital Marketing as a Digital Marketing Expert  With our 4-year 𝗨𝗞 based degree in an academic partnership... Read More Start with Sunway College Quick Enquiry",[],[],"[{'src': 'https://www.facebook.com/tr?id=625202062554777&ev=PageView&noscript=1', 'alt': 'fbpx', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/site-logo.png', 'alt': 'Sunway College Kathmandu', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/02/ad.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2024/02/sunwaycollegektm_1707286811_3297283214476102331_4971021648-300x300.jpg', 'alt': 'data fellowship', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2024/02/sunwaycollegektm_1706709559_3292440872438478774_4971021648-300x300.jpg', 'alt': 'Winter AI Bootcamp | Sunway College Kathmandu', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2024/01/sunwaycollegektm_1706535729_3290982681062810927_4971021648-300x300.jpg', 'alt': 'Venture Gala 2024', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2024/01/sunwaycollegektm_1700110196_3237081404892384063_4971021648-240x300.jpg', 'alt': 'Safer Environment with Sunwayian', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/college-logo-with-name.png', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/footer-logo-name.png', 'alt': 'Footer Image', 'caption': ''}]"
https://sunway.edu.np/event/applauding-the-data-fellowship-award-winners-champions-of-innovation/,Applauding the Data Fellowship Award Winners: Champions of Innovation! - Sunway College Kathmandu,2025-01-22T07:13:04+00:00,,"Applauding the Data Fellowship Award Winners: Champions of Innovation! We are thrilled to announce the prestigious Data Fellowship Award winners, marking a significant step forward in their quest to conquer the ever-evolving frontiers of Data Science and Artificial Intelligence. Through unwavering dedication and a pursuit of excellence, these remarkable individuals are paving the way for a future driven by data-driven ingenuity. Our hearts swell with pride every day, witnessing their commitment and progress. To all the winners, we offer our heartfelt congratulations once again! A special thank you also goes to all participants for their unwavering consistency and insatiable thirst for knowledge. Your enthusiasm fuels our passion, and we are incredibly grateful for your presence on this journey. Let this be a moment of inspiration for all. The world of data beckons, and with dedication and the right guidance, anyone can become a champion of innovation. Onward to even greater achievements! SearchSearchRecent PostsHow Nepals Social Media Council Bill, 2081 BS Could Impact Students: A Closer Look For AI Enthusiasts: A Fascinating Journey Through the History of Artificial Intelligence Power of Artificial Intelligence in Network Security: From Fraud Detection to Edge Computing in Telecom Infrastructure Enhance Your Job Placement Opportunities: Steps to a Better LinkedIn Profile in 2024 Discover The Best Python Courses In Nepal. Recent CommentsNo comments to show.Archives February 2025 January 2024 December 2023 November 2023 October 2023 September 2023 August 2023 July 2023 February 2023 December 2022 November 2022 October 2022 August 2022 Categories Blog data science digital marketing student blog Uncategorized",[],[],"[{'src': 'https://www.facebook.com/tr?id=625202062554777&ev=PageView&noscript=1', 'alt': 'fbpx', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/site-logo.png', 'alt': 'Sunway College Kathmandu', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/02/ad.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2024/02/sunwaycollegektm_1707286811_3297283214476102331_4971021648.jpg', 'alt': 'data fellowship', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2024/02/sunwaycollegektm_1707286811_3297283214409000884_4971021648-1024x1024.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2024/02/sunwaycollegektm_1707286811_3297283214476184758_4971021648-1024x1024.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2024/02/sunwaycollegektm_1707286811_3297283214660690802_4971021648-1024x1024.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2024/02/sunwaycollegektm_1707286811_3297283214484510735_4971021648-1024x1024.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2024/02/sunwaycollegektm_1707286811_3297283214400630654_4971021648-1024x1024.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/footer-logo-name.png', 'alt': 'Footer Image', 'caption': ''}]"
https://sunway.edu.np/event/applauding-the-data-fellowship-award-winners-champions-of-innovation/#primary,Applauding the Data Fellowship Award Winners: Champions of Innovation! - Sunway College Kathmandu,2025-01-22T07:13:04+00:00,,"Applauding the Data Fellowship Award Winners: Champions of Innovation! We are thrilled to announce the prestigious Data Fellowship Award winners, marking a significant step forward in their quest to conquer the ever-evolving frontiers of Data Science and Artificial Intelligence. Through unwavering dedication and a pursuit of excellence, these remarkable individuals are paving the way for a future driven by data-driven ingenuity. Our hearts swell with pride every day, witnessing their commitment and progress. To all the winners, we offer our heartfelt congratulations once again! A special thank you also goes to all participants for their unwavering consistency and insatiable thirst for knowledge. Your enthusiasm fuels our passion, and we are incredibly grateful for your presence on this journey. Let this be a moment of inspiration for all. The world of data beckons, and with dedication and the right guidance, anyone can become a champion of innovation. Onward to even greater achievements! SearchSearchRecent PostsHow Nepals Social Media Council Bill, 2081 BS Could Impact Students: A Closer Look For AI Enthusiasts: A Fascinating Journey Through the History of Artificial Intelligence Power of Artificial Intelligence in Network Security: From Fraud Detection to Edge Computing in Telecom Infrastructure Enhance Your Job Placement Opportunities: Steps to a Better LinkedIn Profile in 2024 Discover The Best Python Courses In Nepal. Recent CommentsNo comments to show.Archives February 2025 January 2024 December 2023 November 2023 October 2023 September 2023 August 2023 July 2023 February 2023 December 2022 November 2022 October 2022 August 2022 Categories Blog data science digital marketing student blog Uncategorized",[],[],"[{'src': 'https://www.facebook.com/tr?id=625202062554777&ev=PageView&noscript=1', 'alt': 'fbpx', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/site-logo.png', 'alt': 'Sunway College Kathmandu', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/02/ad.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2024/02/sunwaycollegektm_1707286811_3297283214476102331_4971021648.jpg', 'alt': 'data fellowship', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2024/02/sunwaycollegektm_1707286811_3297283214409000884_4971021648-1024x1024.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2024/02/sunwaycollegektm_1707286811_3297283214476184758_4971021648-1024x1024.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2024/02/sunwaycollegektm_1707286811_3297283214660690802_4971021648-1024x1024.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2024/02/sunwaycollegektm_1707286811_3297283214484510735_4971021648-1024x1024.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2024/02/sunwaycollegektm_1707286811_3297283214400630654_4971021648-1024x1024.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/footer-logo-name.png', 'alt': 'Footer Image', 'caption': ''}]"
https://sunway.edu.np/workshop/7-days-free-digital-marketing-data-science-bootcamp/,7 Days Free Digital Marketing  Data Science Bootcamp - Sunway College Kathmandu,2025-01-28T06:37:28+00:00,,"7 Days Free Digital Marketing  Data Science Bootcamp Sunway College has been regularly organizing Free Bootcamp that covers various topics on Digital Marketing and Data Science. The Bootcamp features topic field experts and the overall workshops help its students clear the path for their digital marketing or data science journey. At every Bootcamp, 7-8 topics are covered related to digital marketing and data science, and every day only one topic is focused on. The 7-day Bootcamp usually covers topics on Digital Marketing Frameworks, Content Writing, Social Media Marketing, Graphic Designing, Personal Branding, SEO, Pinterest, and the Scope of Data Science in Nepal. Sunway College has successfully completed around 4 Bootcamps and regularly conducts them. Join Our Workshop Post navigation Next: Multimedia Training by Verside Production SearchSearchRecent PostsHow Nepals Social Media Council Bill, 2081 BS Could Impact Students: A Closer Look For AI Enthusiasts: A Fascinating Journey Through the History of Artificial Intelligence Power of Artificial Intelligence in Network Security: From Fraud Detection to Edge Computing in Telecom Infrastructure Enhance Your Job Placement Opportunities: Steps to a Better LinkedIn Profile in 2024 Discover The Best Python Courses In Nepal. Recent CommentsNo comments to show.Archives February 2025 January 2024 December 2023 November 2023 October 2023 September 2023 August 2023 July 2023 February 2023 December 2022 November 2022 October 2022 August 2022 Categories Blog data science digital marketing student blog Uncategorized",[],[],"[{'src': 'https://www.facebook.com/tr?id=625202062554777&ev=PageView&noscript=1', 'alt': 'fbpx', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/site-logo.png', 'alt': 'Sunway College Kathmandu', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/02/ad.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2022/07/thumbnail_Feed-copy-3@2x-100.jpg', 'alt': '7 Days Free Digital Marketing & Data Science Bootcamp', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/footer-logo-name.png', 'alt': 'Footer Image', 'caption': ''}]"
https://sunway.edu.np/workshop/7-days-free-digital-marketing-data-science-bootcamp/#primary,7 Days Free Digital Marketing  Data Science Bootcamp - Sunway College Kathmandu,2025-01-28T06:37:28+00:00,,"7 Days Free Digital Marketing  Data Science Bootcamp Sunway College has been regularly organizing Free Bootcamp that covers various topics on Digital Marketing and Data Science. The Bootcamp features topic field experts and the overall workshops help its students clear the path for their digital marketing or data science journey. At every Bootcamp, 7-8 topics are covered related to digital marketing and data science, and every day only one topic is focused on. The 7-day Bootcamp usually covers topics on Digital Marketing Frameworks, Content Writing, Social Media Marketing, Graphic Designing, Personal Branding, SEO, Pinterest, and the Scope of Data Science in Nepal. Sunway College has successfully completed around 4 Bootcamps and regularly conducts them. Join Our Workshop Post navigation Next: Multimedia Training by Verside Production SearchSearchRecent PostsHow Nepals Social Media Council Bill, 2081 BS Could Impact Students: A Closer Look For AI Enthusiasts: A Fascinating Journey Through the History of Artificial Intelligence Power of Artificial Intelligence in Network Security: From Fraud Detection to Edge Computing in Telecom Infrastructure Enhance Your Job Placement Opportunities: Steps to a Better LinkedIn Profile in 2024 Discover The Best Python Courses In Nepal. Recent CommentsNo comments to show.Archives February 2025 January 2024 December 2023 November 2023 October 2023 September 2023 August 2023 July 2023 February 2023 December 2022 November 2022 October 2022 August 2022 Categories Blog data science digital marketing student blog Uncategorized",[],[],"[{'src': 'https://www.facebook.com/tr?id=625202062554777&ev=PageView&noscript=1', 'alt': 'fbpx', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/site-logo.png', 'alt': 'Sunway College Kathmandu', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/02/ad.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2022/07/thumbnail_Feed-copy-3@2x-100.jpg', 'alt': '7 Days Free Digital Marketing & Data Science Bootcamp', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/footer-logo-name.png', 'alt': 'Footer Image', 'caption': ''}]"
https://sunway.edu.np/workshop/multimedia-training-by-verside-production/,Multimedia Training by Verside Production - Sunway College Kathmandu,2025-01-28T06:10:04+00:00,,"Multimedia Training by Verside Production Sunway college organized multimedia and videography training for 1st and 6th-semester students. The training included guidance and tips on videography and the overall multimedia field. The training started on 20th June 2022. Sunway IT and Research Club organized and managed the training event successfully and the training was full of value and experience. Join Our Workshop Post navigation Previous: 7 Days Free Digital Marketing  Data Science BootcampNext: Free 1 Day SessionWorkshop on Data Science as a Career for 2 Students SearchSearchRecent PostsHow Nepals Social Media Council Bill, 2081 BS Could Impact Students: A Closer Look For AI Enthusiasts: A Fascinating Journey Through the History of Artificial Intelligence Power of Artificial Intelligence in Network Security: From Fraud Detection to Edge Computing in Telecom Infrastructure Enhance Your Job Placement Opportunities: Steps to a Better LinkedIn Profile in 2024 Discover The Best Python Courses In Nepal. Recent CommentsNo comments to show.Archives February 2025 January 2024 December 2023 November 2023 October 2023 September 2023 August 2023 July 2023 February 2023 December 2022 November 2022 October 2022 August 2022 Categories Blog data science digital marketing student blog Uncategorized",[],[],"[{'src': 'https://www.facebook.com/tr?id=625202062554777&ev=PageView&noscript=1', 'alt': 'fbpx', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/site-logo.png', 'alt': 'Sunway College Kathmandu', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/02/ad.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2022/07/verside-multimedia-training.jpg', 'alt': 'verside multimedia training', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/footer-logo-name.png', 'alt': 'Footer Image', 'caption': ''}]"
https://sunway.edu.np/workshop/multimedia-training-by-verside-production/#primary,Multimedia Training by Verside Production - Sunway College Kathmandu,2025-01-28T06:10:04+00:00,,"Multimedia Training by Verside Production Sunway college organized multimedia and videography training for 1st and 6th-semester students. The training included guidance and tips on videography and the overall multimedia field. The training started on 20th June 2022. Sunway IT and Research Club organized and managed the training event successfully and the training was full of value and experience. Join Our Workshop Post navigation Previous: 7 Days Free Digital Marketing  Data Science BootcampNext: Free 1 Day SessionWorkshop on Data Science as a Career for 2 Students SearchSearchRecent PostsHow Nepals Social Media Council Bill, 2081 BS Could Impact Students: A Closer Look For AI Enthusiasts: A Fascinating Journey Through the History of Artificial Intelligence Power of Artificial Intelligence in Network Security: From Fraud Detection to Edge Computing in Telecom Infrastructure Enhance Your Job Placement Opportunities: Steps to a Better LinkedIn Profile in 2024 Discover The Best Python Courses In Nepal. Recent CommentsNo comments to show.Archives February 2025 January 2024 December 2023 November 2023 October 2023 September 2023 August 2023 July 2023 February 2023 December 2022 November 2022 October 2022 August 2022 Categories Blog data science digital marketing student blog Uncategorized",[],[],"[{'src': 'https://www.facebook.com/tr?id=625202062554777&ev=PageView&noscript=1', 'alt': 'fbpx', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/site-logo.png', 'alt': 'Sunway College Kathmandu', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/02/ad.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2022/07/verside-multimedia-training.jpg', 'alt': 'verside multimedia training', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/footer-logo-name.png', 'alt': 'Footer Image', 'caption': ''}]"
https://sunway.edu.np/workshop/free-session-on-data-science-as-a-career-for-2-students/,Free 1 Day Session on Data Science as a Career for 2 Students,2025-01-28T06:36:38+00:00,"If you are a 2 student  thinking about a globally demanded career in IT, this free workshop on data science as a career is for you.","Free 1 Day SessionWorkshop on Data Science as a Career for 2 Students Are you a 2 student? Are you thinking about a globally demanded career in IT? 𝐎𝐮𝐫 𝐅𝐑𝐄𝐄 𝟏 𝐃𝐚𝐲 𝐒𝐞𝐬𝐬𝐢𝐨𝐧𝐖𝐨𝐫𝐤𝐬𝐡𝐨𝐩 𝐨𝐧 𝐃𝐚𝐭𝐚 𝐒𝐜𝐢𝐞𝐧𝐜𝐞 𝐢𝐬 𝐦𝐚𝐝𝐞 𝐟𝐨𝐫 𝐲𝐨𝐮! Why?   Learn why Data Scientist is considered the Sexiest Job of the 21st Century  Learn directly from industry-leading experts  Decide your career yourself  take an informed decision  Learn why Data Scientists are high in demand and about the scope of Data Science locally and globally  Implement what you learn right away  Be ahead of your circle  explore emerging topics  Decide on your career options after learning  Get certification for your valuable attendance When?  Our 1 Day Free Session on Data Science as a career starts on 22nd September 8 AM  9:30 AM How?  Real-life examples, new learnings, fun-filled insights, and QA  the session will be fun and knowledgeable. 𝐑𝐞𝐠𝐢𝐬𝐭𝐞𝐫 𝐚𝐧𝐝 𝐁𝐨𝐨𝐤 𝐲𝐨𝐮𝐫 𝐬𝐞𝐚𝐭𝐬 𝐭𝐨𝐝𝐚𝐲! 𝐎𝐧𝐥𝐲 𝐭𝐚𝐤𝐞𝐬 𝟐 𝐦𝐢𝐧𝐮𝐭𝐞𝐬! Times ticking  Join Our Workshop Post navigation Previous: Multimedia Training by Verside ProductionNext: Free Digital Marketing Workshop for 2 Graduates SearchSearchRecent PostsHow Nepals Social Media Council Bill, 2081 BS Could Impact Students: A Closer Look For AI Enthusiasts: A Fascinating Journey Through the History of Artificial Intelligence Power of Artificial Intelligence in Network Security: From Fraud Detection to Edge Computing in Telecom Infrastructure Enhance Your Job Placement Opportunities: Steps to a Better LinkedIn Profile in 2024 Discover The Best Python Courses In Nepal. Recent CommentsNo comments to show.Archives February 2025 January 2024 December 2023 November 2023 October 2023 September 2023 August 2023 July 2023 February 2023 December 2022 November 2022 October 2022 August 2022 Categories Blog data science digital marketing student blog Uncategorized",[],[],"[{'src': 'https://www.facebook.com/tr?id=625202062554777&ev=PageView&noscript=1', 'alt': 'fbpx', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/site-logo.png', 'alt': 'Sunway College Kathmandu', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/02/ad.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2022/09/data-science-workshop-2.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/footer-logo-name.png', 'alt': 'Footer Image', 'caption': ''}]"
https://sunway.edu.np/workshop/free-session-on-data-science-as-a-career-for-2-students/#primary,Free 1 Day Session on Data Science as a Career for 2 Students,2025-01-28T06:36:38+00:00,"If you are a 2 student  thinking about a globally demanded career in IT, this free workshop on data science as a career is for you.","Free 1 Day SessionWorkshop on Data Science as a Career for 2 Students Are you a 2 student? Are you thinking about a globally demanded career in IT? 𝐎𝐮𝐫 𝐅𝐑𝐄𝐄 𝟏 𝐃𝐚𝐲 𝐒𝐞𝐬𝐬𝐢𝐨𝐧𝐖𝐨𝐫𝐤𝐬𝐡𝐨𝐩 𝐨𝐧 𝐃𝐚𝐭𝐚 𝐒𝐜𝐢𝐞𝐧𝐜𝐞 𝐢𝐬 𝐦𝐚𝐝𝐞 𝐟𝐨𝐫 𝐲𝐨𝐮! Why?   Learn why Data Scientist is considered the Sexiest Job of the 21st Century  Learn directly from industry-leading experts  Decide your career yourself  take an informed decision  Learn why Data Scientists are high in demand and about the scope of Data Science locally and globally  Implement what you learn right away  Be ahead of your circle  explore emerging topics  Decide on your career options after learning  Get certification for your valuable attendance When?  Our 1 Day Free Session on Data Science as a career starts on 22nd September 8 AM  9:30 AM How?  Real-life examples, new learnings, fun-filled insights, and QA  the session will be fun and knowledgeable. 𝐑𝐞𝐠𝐢𝐬𝐭𝐞𝐫 𝐚𝐧𝐝 𝐁𝐨𝐨𝐤 𝐲𝐨𝐮𝐫 𝐬𝐞𝐚𝐭𝐬 𝐭𝐨𝐝𝐚𝐲! 𝐎𝐧𝐥𝐲 𝐭𝐚𝐤𝐞𝐬 𝟐 𝐦𝐢𝐧𝐮𝐭𝐞𝐬! Times ticking  Join Our Workshop Post navigation Previous: Multimedia Training by Verside ProductionNext: Free Digital Marketing Workshop for 2 Graduates SearchSearchRecent PostsHow Nepals Social Media Council Bill, 2081 BS Could Impact Students: A Closer Look For AI Enthusiasts: A Fascinating Journey Through the History of Artificial Intelligence Power of Artificial Intelligence in Network Security: From Fraud Detection to Edge Computing in Telecom Infrastructure Enhance Your Job Placement Opportunities: Steps to a Better LinkedIn Profile in 2024 Discover The Best Python Courses In Nepal. Recent CommentsNo comments to show.Archives February 2025 January 2024 December 2023 November 2023 October 2023 September 2023 August 2023 July 2023 February 2023 December 2022 November 2022 October 2022 August 2022 Categories Blog data science digital marketing student blog Uncategorized",[],[],"[{'src': 'https://www.facebook.com/tr?id=625202062554777&ev=PageView&noscript=1', 'alt': 'fbpx', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/site-logo.png', 'alt': 'Sunway College Kathmandu', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/02/ad.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2022/09/data-science-workshop-2.jpg', 'alt': '', 'caption': ''}, {'src': 'https://sunway.edu.np/wp-content/uploads/2025/01/footer-logo-name.png', 'alt': 'Footer Image', 'caption': ''}]"
